Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
T Toro,OTHER_OUTDOOR,19-06-2023,16:04:31,00:43:45,0.14,69,0.2,2.8,303:49,21:06,3,,,,,,,,,,,130.0,40.0,200,55,44,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,68,0.0,00:00,,,,0.00,,,
,00:00:01,68,0.0,00:00,,,,0.00,,,
,00:00:02,67,0.0,00:00,,,,0.00,,,
,00:00:03,66,0.0,00:00,,,,0.00,,,
,00:00:04,65,0.0,00:00,,,,0.00,,,
,00:00:05,65,0.0,00:00,,,,0.00,,,
,00:00:06,65,0.0,00:00,,,,0.00,,,
,00:00:07,66,0.0,00:00,,,,0.00,,,
,00:00:08,67,0.0,00:00,,,,0.00,,,
,00:00:09,67,0.0,00:00,,,,0.00,,,
,00:00:10,68,0.0,00:00,,,,0.00,,,
,00:00:11,70,0.0,00:00,,,,0.00,,,
,00:00:12,71,0.0,00:00,,,,0.00,,,
,00:00:13,73,0.0,00:00,,,,0.00,,,
,00:00:14,75,0.0,00:00,,,,0.00,,,
,00:00:15,74,0.0,00:00,,,,0.00,,,
,00:00:16,73,0.0,00:00,,,,0.00,,,
,00:00:17,72,0.0,00:00,,,,0.00,,,
,00:00:18,72,0.0,00:00,,,,0.00,,,
,00:00:19,72,0.0,00:00,,,,0.00,,,
,00:00:20,71,0.0,00:00,,,,0.00,,,
,00:00:21,71,0.0,00:00,,,,0.00,,,
,00:00:22,71,0.0,00:00,,,,0.00,,,
,00:00:23,70,0.0,00:00,,,,0.00,,,
,00:00:24,70,0.0,00:00,,,,0.00,,,
,00:00:25,70,0.0,00:00,,,,0.00,,,
,00:00:26,69,0.0,00:00,,,,0.00,,,
,00:00:27,69,0.0,00:00,,,,0.00,,,
,00:00:28,68,0.0,00:00,,,,0.00,,,
,00:00:29,68,0.0,00:00,,,,0.00,,,
,00:00:30,67,0.0,00:00,,,,0.00,,,
,00:00:31,67,0.0,00:00,,,,0.00,,,
,00:00:32,66,0.0,00:00,,,,0.00,,,
,00:00:33,66,0.0,00:00,,,,0.00,,,
,00:00:34,65,0.0,00:00,,,,0.00,,,
,00:00:35,65,0.0,00:00,,,,0.00,,,
,00:00:36,65,0.0,00:00,,,,0.00,,,
,00:00:37,66,0.0,00:00,,,,0.00,,,
,00:00:38,66,0.0,00:00,,,,0.00,,,
,00:00:39,66,0.0,00:00,,,,0.00,,,
,00:00:40,66,0.0,00:00,,,,0.00,,,
,00:00:41,67,0.0,00:00,,,,0.00,,,
,00:00:42,68,0.0,00:00,,,,0.00,,,
,00:00:43,69,0.0,00:00,,,,0.00,,,
,00:00:44,70,0.0,00:00,,,,0.00,,,
,00:00:45,72,0.0,00:00,,,,0.00,,,
,00:00:46,73,0.0,00:00,,,,0.00,,,
,00:00:47,74,0.0,00:00,,,,0.00,,,
,00:00:48,75,0.0,00:00,,,,0.00,,,
,00:00:49,74,0.0,00:00,,,,0.00,,,
,00:00:50,74,0.0,00:00,,,,0.00,,,
,00:00:51,74,0.0,00:00,,,,0.00,,,
,00:00:52,74,0.0,00:00,,,,0.00,,,
,00:00:53,74,0.0,00:00,,,,0.00,,,
,00:00:54,75,0.0,00:00,,,,0.00,,,
,00:00:55,75,0.0,00:00,,,,0.00,,,
,00:00:56,75,0.0,00:00,,,,0.00,,,
,00:00:57,75,0.0,00:00,,,,0.00,,,
,00:00:58,75,0.0,00:00,,,,0.00,,,
,00:00:59,75,0.0,00:00,,,,0.00,,,
,00:01:00,74,0.0,00:00,,,,0.00,,,
,00:01:01,73,0.0,00:00,,,,0.00,,,
,00:01:02,73,0.0,00:00,,,,0.00,,,
,00:01:03,71,0.0,00:00,,,,0.00,,,
,00:01:04,70,0.0,00:00,,,,0.00,,,
,00:01:05,68,0.0,00:00,,,,0.00,,,
,00:01:06,66,0.0,00:00,,,,0.00,,,
,00:01:07,65,0.0,00:00,,,,0.00,,,
,00:01:08,65,0.0,00:00,,,,0.00,,,
,00:01:09,64,0.0,00:00,,,,0.00,,,
,00:01:10,64,0.0,00:00,,,,0.00,,,
,00:01:11,64,0.0,00:00,,,,0.00,,,
,00:01:12,64,0.0,00:00,,,,0.00,,,
,00:01:13,64,0.0,00:00,,,,0.00,,,
,00:01:14,64,0.0,00:00,,,,0.00,,,
,00:01:15,64,0.0,00:00,,,,0.00,,,
,00:01:16,64,0.0,00:00,,,,0.00,,,
,00:01:17,65,0.0,00:00,,,,0.00,,,
,00:01:18,66,0.0,00:00,,,,0.00,,,
,00:01:19,67,0.0,00:00,,,,0.00,,,
,00:01:20,67,0.0,00:00,,,,0.00,,,
,00:01:21,68,0.0,00:00,,,,0.00,,,
,00:01:22,70,0.0,00:00,,,,0.00,,,
,00:01:23,71,0.0,00:00,,,,0.00,,,
,00:01:24,72,0.0,00:00,,,,0.00,,,
,00:01:25,72,0.0,00:00,,,,0.00,,,
,00:01:26,72,0.0,00:00,,,,0.00,,,
,00:01:27,72,0.0,00:00,,,,0.00,,,
,00:01:28,72,0.0,00:00,,,,0.00,,,
,00:01:29,72,0.0,00:00,,,,0.00,,,
,00:01:30,72,0.0,00:00,,,,0.00,,,
,00:01:31,72,0.0,00:00,,,,0.00,,,
,00:01:32,71,0.0,00:00,,,,0.00,,,
,00:01:33,70,0.0,00:00,,,,0.00,,,
,00:01:34,70,0.0,00:00,,,,0.00,,,
,00:01:35,68,0.0,00:00,,,,0.00,,,
,00:01:36,67,0.0,00:00,,,,0.00,,,
,00:01:37,67,0.0,00:00,,,,0.00,,,
,00:01:38,66,0.0,00:00,,,,0.00,,,
,00:01:39,67,0.0,00:00,,,,0.00,,,
,00:01:40,68,0.0,00:00,,,,0.00,,,
,00:01:41,68,0.0,00:00,,,,0.00,,,
,00:01:42,69,0.0,00:00,,,,0.00,,,
,00:01:43,68,0.0,00:00,,,,0.00,,,
,00:01:44,67,0.0,00:00,,,,0.00,,,
,00:01:45,66,0.0,00:00,,,,0.00,,,
,00:01:46,66,0.0,00:00,,,,0.00,,,
,00:01:47,65,0.0,00:00,,,,0.00,,,
,00:01:48,66,0.0,00:00,,,,0.00,,,
,00:01:49,66,0.0,00:00,,,,0.00,,,
,00:01:50,66,0.0,00:00,,,,0.00,,,
,00:01:51,65,0.0,00:00,,,,0.00,,,
,00:01:52,65,0.0,00:00,,,,0.00,,,
,00:01:53,64,0.0,00:00,,,,0.00,,,
,00:01:54,64,0.0,00:00,,,,0.00,,,
,00:01:55,65,0.0,00:00,,,,0.00,,,
,00:01:56,65,0.0,00:00,,,,0.00,,,
,00:01:57,66,0.0,00:00,,,,0.00,,,
,00:01:58,66,0.0,00:00,,,,0.00,,,
,00:01:59,66,0.0,00:00,,,,0.00,,,
,00:02:00,66,0.0,00:00,,,,0.00,,,
,00:02:01,65,0.0,00:00,,,,0.00,,,
,00:02:02,65,0.0,00:00,,,,0.00,,,
,00:02:03,66,0.0,00:00,,,,0.00,,,
,00:02:04,67,0.0,00:00,,,,0.00,,,
